epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,39131,0.79546,0.38053,1.01677,0.98532,0.98048,0.99175,0.93866,0.36092,0.26149,0.83123,0.000610789,0.000610789,0.000610789
66,39762.1,0.82294,0.39693,1.02037,0.99743,0.97349,0.99191,0.94243,0.35064,0.25147,0.82774,0.000594286,0.000594286,0.000594286
67,40352.7,0.8041,0.38041,1.0071,0.99122,0.98049,0.9922,0.9486,0.34838,0.25323,0.82138,0.000577782,0.000577782,0.000577782
68,40950.2,0.79162,0.3767,1.00439,0.99301,0.97935,0.9912,0.94158,0.36323,0.24983,0.82311,0.000561279,0.000561279,0.000561279
69,41551,0.80124,0.3818,1.00441,0.99193,0.98409,0.99156,0.93718,0.3513,0.2547,0.81618,0.000544776,0.000544776,0.000544776
70,42166.5,0.8031,0.38076,1.01472,0.99278,0.97877,0.991,0.93178,0.3589,0.25041,0.82554,0.000528272,0.000528272,0.000528272
71,42751.3,0.78859,0.36734,1.00017,0.99658,0.97685,0.99206,0.93726,0.34788,0.23968,0.81705,0.000511769,0.000511769,0.000511769
72,43337.9,0.76974,0.37046,0.99886,0.99342,0.97885,0.99099,0.94127,0.34438,0.25108,0.82277,0.000495266,0.000495266,0.000495266
73,43882,0.78709,0.3766,1.01224,0.99398,0.97163,0.99053,0.94663,0.33197,0.24326,0.8172,0.000478762,0.000478762,0.000478762
74,44507.5,0.76797,0.36057,0.99383,0.99258,0.97768,0.99139,0.95246,0.31734,0.23111,0.81061,0.000462259,0.000462259,0.000462259
75,45089.5,0.77621,0.37254,0.99459,0.97581,0.99109,0.99159,0.9489,0.3291,0.23038,0.814,0.000445756,0.000445756,0.000445756
76,45705.3,0.77138,0.36964,0.99865,0.98698,0.98113,0.99165,0.943,0.33259,0.24777,0.81795,0.000429253,0.000429253,0.000429253
77,46313.6,0.76167,0.36166,0.98821,0.99388,0.97684,0.99132,0.94461,0.3391,0.24118,0.81778,0.000412749,0.000412749,0.000412749
78,46915.2,0.75319,0.36274,0.98887,0.98718,0.97212,0.99081,0.94837,0.33145,0.23713,0.80881,0.000396246,0.000396246,0.000396246
79,47515.1,0.75139,0.35776,0.9907,0.99279,0.97232,0.99154,0.95224,0.33086,0.24178,0.81622,0.000379743,0.000379743,0.000379743
80,48144.8,0.76651,0.35663,0.98528,0.99267,0.97944,0.99182,0.9497,0.33189,0.24066,0.81008,0.000363239,0.000363239,0.000363239
81,48736.9,0.72821,0.34706,0.97416,0.99329,0.97716,0.992,0.95599,0.3264,0.23052,0.81104,0.000346736,0.000346736,0.000346736
82,49355.2,0.75476,0.35288,0.99127,0.99739,0.97349,0.99184,0.9492,0.32948,0.22812,0.81288,0.000330233,0.000330233,0.000330233
83,49942.6,0.73973,0.35274,0.9859,0.99872,0.98972,0.992,0.95051,0.32408,0.23307,0.81123,0.000313729,0.000313729,0.000313729
84,50537.5,0.75364,0.35348,0.98631,0.98638,0.98586,0.99241,0.95684,0.31539,0.21916,0.80853,0.000297226,0.000297226,0.000297226
85,51146.7,0.73911,0.34583,0.99032,0.98627,0.989,0.99187,0.9527,0.31357,0.21859,0.80588,0.000280723,0.000280723,0.000280723
86,51771.9,0.72799,0.34955,0.98038,0.99205,0.97895,0.99178,0.95666,0.30943,0.2217,0.80789,0.00026422,0.00026422,0.00026422
87,52344.6,0.73114,0.34588,0.98961,0.99204,0.97891,0.99158,0.9476,0.32529,0.22756,0.81291,0.000247716,0.000247716,0.000247716
88,52942.1,0.70986,0.33867,0.9747,0.99165,0.97944,0.99171,0.95155,0.31783,0.22367,0.80827,0.000231213,0.000231213,0.000231213
89,53503.3,0.70483,0.33794,0.97025,0.98662,0.97944,0.99228,0.95709,0.31144,0.21855,0.80739,0.00021471,0.00021471,0.00021471
90,54138.2,0.72346,0.34329,0.97332,0.99274,0.97921,0.99249,0.96224,0.30318,0.2155,0.80439,0.000198206,0.000198206,0.000198206
91,54703.6,0.68923,0.3073,0.95815,0.99783,0.98539,0.99231,0.94997,0.31699,0.22048,0.81035,0.000181703,0.000181703,0.000181703
92,55143.2,0.67616,0.30718,0.95934,0.99941,0.97861,0.9926,0.95475,0.3203,0.22148,0.81119,0.0001652,0.0001652,0.0001652
93,55759.8,0.67368,0.30325,0.9522,0.99184,0.97944,0.99256,0.9519,0.32029,0.22,0.81018,0.000148696,0.000148696,0.000148696
94,56396,0.66203,0.30095,0.94978,0.99289,0.97547,0.99254,0.95051,0.31531,0.21609,0.80979,0.000132193,0.000132193,0.000132193
95,56992.1,0.66922,0.29988,0.94674,0.9983,0.98539,0.99275,0.95147,0.30907,0.21574,0.80919,0.00011569,0.00011569,0.00011569
96,57572.7,0.65709,0.29768,0.94402,0.99628,0.98539,0.99276,0.95719,0.29914,0.20813,0.80108,9.91865e-05,9.91865e-05,9.91865e-05
97,58191.2,0.6544,0.29254,0.9427,0.99667,0.98539,0.99281,0.96152,0.2969,0.20701,0.80117,8.26832e-05,8.26832e-05,8.26832e-05
98,58828.9,0.65366,0.29971,0.93944,0.9965,0.99048,0.99283,0.96104,0.30291,0.2058,0.80354,6.61799e-05,6.61799e-05,6.61799e-05
99,59406.9,0.64473,0.29333,0.94315,0.98217,0.99052,0.99287,0.96456,0.29698,0.2048,0.80284,4.96766e-05,4.96766e-05,4.96766e-05
100,59961.5,0.6383,0.29031,0.94387,0.99738,0.97944,0.99282,0.96383,0.29619,0.20494,0.80238,3.31733e-05,3.31733e-05,3.31733e-05
