epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,3241.92,0.8125,0.47435,1.00578,0.87425,0.78341,0.8491,0.69151,0.6506,0.53523,0.99809,0.00019271,0.00019271,0.00019271
68,3290.19,0.81543,0.46805,1.0033,0.87242,0.78197,0.85048,0.6903,0.65639,0.53118,1.00105,0.000187205,0.000187205,0.000187205
69,3338.59,0.79645,0.46135,0.99881,0.87393,0.80192,0.85293,0.69578,0.65115,0.51726,0.99525,0.000181701,0.000181701,0.000181701
70,3387.1,0.80172,0.4689,0.99958,0.8725,0.78378,0.85049,0.69936,0.6574,0.52837,1.00184,0.000176196,0.000176196,0.000176196
71,3436.15,0.79081,0.45945,0.99531,0.84598,0.81476,0.84404,0.68972,0.66133,0.52723,1.0053,0.000170692,0.000170692,0.000170692
72,3484.46,0.78918,0.45728,0.99107,0.87549,0.79596,0.84914,0.69808,0.65416,0.5195,1.00161,0.000165188,0.000165188,0.000165188
73,3532.65,0.77823,0.44968,0.98667,0.8471,0.81133,0.85218,0.70196,0.64943,0.52475,0.99332,0.000159683,0.000159683,0.000159683
74,3580.94,0.77926,0.45497,0.98923,0.86147,0.80557,0.85379,0.69974,0.65122,0.52275,0.99661,0.000154179,0.000154179,0.000154179
75,3629.35,0.77373,0.44627,0.98624,0.86214,0.79745,0.85171,0.69923,0.64661,0.52695,0.99645,0.000148674,0.000148674,0.000148674
76,3677.45,0.76982,0.44442,0.9807,0.86551,0.78859,0.84564,0.69716,0.64605,0.52737,1.00159,0.00014317,0.00014317,0.00014317
77,3725.74,0.76441,0.44547,0.98588,0.85844,0.79048,0.84539,0.69661,0.64458,0.53158,1.00796,0.000137666,0.000137666,0.000137666
78,3773.9,0.75711,0.4362,0.9773,0.88715,0.7815,0.8496,0.70109,0.64485,0.51408,1.00893,0.000132161,0.000132161,0.000132161
79,3822.37,0.75404,0.43581,0.97872,0.8834,0.79337,0.84863,0.70001,0.6401,0.51643,0.99749,0.000126657,0.000126657,0.000126657
80,3870.89,0.75211,0.43758,0.97643,0.89444,0.779,0.8528,0.70112,0.63961,0.5197,0.9982,0.000121152,0.000121152,0.000121152
81,3919.16,0.74933,0.43483,0.9777,0.87413,0.7996,0.85168,0.7006,0.64797,0.51772,1.00609,0.000115648,0.000115648,0.000115648
82,3967.41,0.74414,0.43301,0.97323,0.85904,0.81445,0.85198,0.70449,0.63901,0.51982,0.99723,0.000110144,0.000110144,0.000110144
83,4015.78,0.73661,0.42917,0.97041,0.87716,0.79906,0.85716,0.70741,0.64149,0.51834,0.99964,0.000104639,0.000104639,0.000104639
84,4064.29,0.7308,0.42156,0.96679,0.84353,0.82567,0.85425,0.70818,0.63324,0.52449,0.99344,9.91348e-05,9.91348e-05,9.91348e-05
85,4112.61,0.72826,0.42664,0.96783,0.87616,0.81282,0.85556,0.70692,0.63767,0.52238,0.99695,9.36304e-05,9.36304e-05,9.36304e-05
86,4160.73,0.72078,0.41999,0.96694,0.88934,0.79257,0.8546,0.70673,0.63337,0.52321,0.99407,8.8126e-05,8.8126e-05,8.8126e-05
87,4208.93,0.71827,0.41613,0.96224,0.87798,0.80293,0.85541,0.70729,0.63121,0.5258,0.99314,8.26216e-05,8.26216e-05,8.26216e-05
88,4257.06,0.7155,0.416,0.96039,0.89596,0.78412,0.85481,0.70578,0.637,0.52302,1.00006,7.71172e-05,7.71172e-05,7.71172e-05
