epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,64513.7,0.56383,0.32821,0.94143,0.9765,0.98916,0.99281,0.89534,0.41243,0.2644,0.884,0.000165074,0.000165074,0.000165074
126,65012,0.56174,0.32539,0.93838,0.97697,0.98101,0.99292,0.88288,0.42635,0.27245,0.89896,0.000159075,0.000159075,0.000159075
127,65505.6,0.54665,0.3191,0.93849,0.96472,0.98993,0.98869,0.8802,0.4135,0.26996,0.88313,0.000153076,0.000153076,0.000153076
128,66025.1,0.55847,0.32516,0.93898,0.9723,0.98534,0.99115,0.87812,0.41846,0.2732,0.8918,0.000147076,0.000147076,0.000147076
129,66464,0.54927,0.31257,0.92998,0.96854,0.98993,0.99199,0.88662,0.41312,0.27392,0.89068,0.000141077,0.000141077,0.000141077
130,66977.6,0.5542,0.31937,0.94161,0.96597,0.98926,0.98948,0.88504,0.4169,0.277,0.8893,0.000135077,0.000135077,0.000135077
131,67453.9,0.55448,0.31933,0.93559,0.96848,0.98906,0.98913,0.8864,0.42151,0.27335,0.89166,0.000129078,0.000129078,0.000129078
132,67970.1,0.5474,0.31449,0.93176,0.97422,0.98014,0.99046,0.88768,0.41594,0.26358,0.88981,0.000123079,0.000123079,0.000123079
133,68581,0.53485,0.30544,0.929,0.97749,0.98909,0.99062,0.89503,0.41538,0.26647,0.88616,0.000117079,0.000117079,0.000117079
134,69118.9,0.5418,0.31591,0.92851,0.97638,0.98345,0.99188,0.89013,0.41578,0.26698,0.88328,0.00011108,0.00011108,0.00011108
135,69587.4,0.53368,0.30562,0.92398,0.97798,0.98251,0.99113,0.89072,0.41784,0.2701,0.87908,0.00010508,0.00010508,0.00010508
136,70064.1,0.53399,0.30702,0.926,0.98057,0.98374,0.99271,0.88394,0.41354,0.27094,0.87601,9.9081e-05,9.9081e-05,9.9081e-05
137,70678.2,0.53667,0.30025,0.92615,0.98081,0.98527,0.99175,0.88755,0.41244,0.27172,0.8812,9.30816e-05,9.30816e-05,9.30816e-05
138,71607.7,0.52394,0.30025,0.92452,0.97603,0.98458,0.99258,0.88501,0.41642,0.26043,0.88338,8.70822e-05,8.70822e-05,8.70822e-05
139,73692.4,0.52959,0.29946,0.92653,0.98102,0.98108,0.99126,0.87871,0.42108,0.26116,0.88285,8.10828e-05,8.10828e-05,8.10828e-05
