                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.1898,                 1.2812,                 2.0525,                0.85941,                0.79465,                0.88736,                0.79045,                 1.0808,                 1.2921,                 1.9855,             0.00018106,             0.00018106,             0.00018106
                     50,                 1.1739,                 1.2424,                 2.0336,                0.83742,                0.81922,                0.88432,                0.79002,                 1.0595,                 1.3078,                 1.9567,             0.00017764,             0.00017764,             0.00017764
                     51,                 1.1791,                 1.2205,                 2.0356,                0.87963,                0.80364,                0.91184,                0.80308,                 1.1174,                 1.2307,                 2.0014,             0.00017422,             0.00017422,             0.00017422
                     52,                 1.1732,                  1.223,                  2.033,                0.86631,                 0.7875,                0.89578,                0.80049,                 1.0611,                   1.24,                  1.958,             0.00017081,             0.00017081,             0.00017081
                     53,                 1.1678,                 1.2099,                 2.0264,                0.83363,                0.82297,                 0.8936,                 0.8037,                 1.0772,                 1.2498,                  1.958,             0.00016739,             0.00016739,             0.00016739
                     54,                 1.1604,                 1.1969,                 2.0232,                0.85749,                0.83393,                0.90057,                0.80366,                 1.0702,                 1.1674,                 1.9561,             0.00016398,             0.00016398,             0.00016398
                     55,                 1.1657,                  1.182,                 2.0299,                0.81134,                0.83392,                0.90944,                0.81796,                 1.0428,                 1.1751,                 1.9289,             0.00016056,             0.00016056,             0.00016056
                     56,                 1.1572,                 1.1878,                 2.0203,                0.86202,                0.78777,                0.88243,                0.78884,                 1.0653,                 1.3045,                 1.9513,             0.00015715,             0.00015715,             0.00015715
                     57,                 1.1484,                 1.1763,                 2.0242,                 0.8337,                0.85035,                0.90881,                0.81785,                 1.0383,                 1.1164,                 1.9332,             0.00015373,             0.00015373,             0.00015373
                     58,                  1.148,                 1.1442,                 2.0187,                0.82448,                0.83641,                0.90641,                0.81225,                 1.0641,                 1.2033,                 1.9451,             0.00015032,             0.00015032,             0.00015032
