epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,7166.56,0.621,0.40035,1.00958,0.97841,0.98428,0.9915,0.90652,0.4499,0.24169,0.88748,0.0067825,0.0067825,0.0067825
67,7267.39,0.622,0.4027,1.0096,0.97138,0.99313,0.99207,0.90665,0.45256,0.24773,0.88892,0.006733,0.006733,0.006733
68,7370.13,0.61836,0.40205,1.00446,0.98431,0.98619,0.99191,0.90663,0.4497,0.24335,0.89137,0.0066835,0.0066835,0.0066835
69,7482.46,0.62046,0.4085,1.00864,0.97939,0.98893,0.99199,0.90748,0.44559,0.24208,0.8913,0.006634,0.006634,0.006634
70,7583.05,0.61964,0.40494,1.00959,0.97266,0.98951,0.99216,0.91049,0.44427,0.2444,0.88577,0.0065845,0.0065845,0.0065845
71,7685.29,0.62039,0.39724,1.01433,0.98354,0.98922,0.99263,0.91313,0.43696,0.23781,0.87881,0.006535,0.006535,0.006535
72,7792.93,0.61038,0.39258,1.00555,0.981,0.99034,0.99266,0.92092,0.42044,0.22998,0.87193,0.0064855,0.0064855,0.0064855
73,7894.43,0.60683,0.38915,1.00433,0.98791,0.989,0.99299,0.91969,0.42377,0.23117,0.8763,0.006436,0.006436,0.006436
74,7996.99,0.60462,0.39257,0.99489,0.98444,0.98445,0.99319,0.92087,0.41224,0.22863,0.86486,0.0063865,0.0063865,0.0063865
75,8109.54,0.60329,0.3924,1.00287,0.98759,0.98694,0.99192,0.91626,0.42566,0.23101,0.87358,0.006337,0.006337,0.006337
76,8210.65,0.59538,0.39153,0.99559,0.98324,0.98841,0.99257,0.92201,0.41902,0.22623,0.87303,0.0062875,0.0062875,0.0062875
77,8313.92,0.59174,0.38665,0.99777,0.99076,0.9872,0.99327,0.91681,0.41935,0.2259,0.87299,0.006238,0.006238,0.006238
78,8427.68,0.5948,0.38069,0.99702,0.98631,0.98631,0.99287,0.92556,0.40519,0.2253,0.8626,0.0061885,0.0061885,0.0061885
79,8528.47,0.59697,0.38653,0.99902,0.9889,0.99158,0.99386,0.92279,0.40171,0.21612,0.86283,0.006139,0.006139,0.006139
80,8631.57,0.58438,0.37381,0.99025,0.98687,0.99083,0.99326,0.92613,0.40215,0.22161,0.8644,0.0060895,0.0060895,0.0060895
81,8744.24,0.58688,0.37458,0.99477,0.98331,0.9936,0.99291,0.92851,0.39218,0.21581,0.85612,0.00604,0.00604,0.00604
82,8845.15,0.58191,0.3706,0.98991,0.98506,0.99361,0.99372,0.93237,0.39195,0.21497,0.85276,0.0059905,0.0059905,0.0059905
83,8948.31,0.58685,0.37807,0.9891,0.9867,0.99325,0.9939,0.93013,0.39771,0.21123,0.85445,0.005941,0.005941,0.005941
84,9062.71,0.57845,0.36585,0.99102,0.98574,0.99432,0.99385,0.93391,0.38749,0.21076,0.85215,0.0058915,0.0058915,0.0058915
85,9163.6,0.57553,0.37354,0.99037,0.98626,0.99723,0.99417,0.93732,0.38472,0.21013,0.84916,0.005842,0.005842,0.005842
86,9266.76,0.56929,0.36388,0.98985,0.98505,0.99344,0.99341,0.93478,0.38452,0.20605,0.85014,0.0057925,0.0057925,0.0057925
87,9377.87,0.56921,0.36395,0.98577,0.98652,0.99324,0.99398,0.93463,0.3873,0.20507,0.85164,0.005743,0.005743,0.005743
88,9479.28,0.56467,0.3642,0.98262,0.99058,0.99518,0.99378,0.93273,0.38936,0.20288,0.85235,0.0056935,0.0056935,0.0056935
89,9582.32,0.55675,0.35708,0.97967,0.99233,0.99042,0.99411,0.93818,0.37836,0.2026,0.85146,0.005644,0.005644,0.005644
90,9694.17,0.56151,0.36221,0.982,0.98927,0.98884,0.99397,0.93524,0.37871,0.20023,0.847,0.0055945,0.0055945,0.0055945
91,9795.25,0.55696,0.35965,0.97837,0.9864,0.99537,0.99412,0.93915,0.37085,0.20002,0.84704,0.005545,0.005545,0.005545
92,9898.38,0.55558,0.3545,0.97967,0.98484,0.99347,0.99345,0.94392,0.36091,0.20161,0.84094,0.0054955,0.0054955,0.0054955
93,10016.2,0.55391,0.35848,0.98217,0.9877,0.99188,0.99381,0.94145,0.36155,0.20225,0.84034,0.005446,0.005446,0.005446
94,10119.4,0.55139,0.35151,0.97791,0.98808,0.99278,0.9941,0.94462,0.36009,0.19468,0.83761,0.0053965,0.0053965,0.0053965
95,10224.7,0.55167,0.3531,0.98467,0.9867,0.99221,0.99379,0.94139,0.36086,0.19789,0.84121,0.005347,0.005347,0.005347
96,10341.5,0.54726,0.34927,0.97522,0.98987,0.99464,0.994,0.94326,0.36686,0.19593,0.84387,0.0052975,0.0052975,0.0052975
97,10444.2,0.54161,0.35064,0.97226,0.98118,0.9913,0.99297,0.94023,0.36783,0.1996,0.84449,0.005248,0.005248,0.005248
98,10554,0.53879,0.34889,0.97274,0.98846,0.99207,0.9939,0.94611,0.36203,0.19926,0.84387,0.0051985,0.0051985,0.0051985
99,10667.8,0.53838,0.34944,0.96852,0.99185,0.99481,0.99405,0.94551,0.35523,0.19265,0.83683,0.005149,0.005149,0.005149
100,10771.1,0.53752,0.34564,0.97056,0.98758,0.99775,0.99429,0.94461,0.35131,0.18975,0.83437,0.0050995,0.0050995,0.0050995
101,10878.4,0.53798,0.34402,0.97229,0.99302,0.9944,0.99425,0.9489,0.34576,0.18299,0.83275,0.00505,0.00505,0.00505
102,10992.3,0.52974,0.33988,0.96915,0.9883,0.99644,0.99411,0.95003,0.33919,0.18455,0.83251,0.0050005,0.0050005,0.0050005
103,11096.4,0.52755,0.33889,0.96632,0.99018,0.99353,0.99431,0.95031,0.3423,0.18437,0.83328,0.004951,0.004951,0.004951
104,11206,0.52662,0.33538,0.96902,0.99243,0.98885,0.994,0.95184,0.33668,0.18467,0.83237,0.0049015,0.0049015,0.0049015
105,11319.7,0.52599,0.3324,0.96489,0.992,0.99282,0.99371,0.95007,0.34147,0.18217,0.83368,0.004852,0.004852,0.004852
106,11422.2,0.52175,0.34216,0.9656,0.98804,0.99553,0.99419,0.95393,0.33199,0.17922,0.82687,0.0048025,0.0048025,0.0048025
107,11525.8,0.52309,0.33814,0.96649,0.99152,0.99433,0.99449,0.95299,0.32833,0.17841,0.82542,0.004753,0.004753,0.004753
108,11640.6,0.51862,0.32675,0.96585,0.9884,0.99571,0.9944,0.95699,0.3205,0.17447,0.82313,0.0047035,0.0047035,0.0047035
109,11743.1,0.52418,0.3336,0.96686,0.98525,0.99355,0.99437,0.95702,0.32053,0.18154,0.82417,0.004654,0.004654,0.004654
110,11847,0.5179,0.33498,0.96345,0.99422,0.99119,0.99427,0.95905,0.32416,0.17776,0.82625,0.0046045,0.0046045,0.0046045
111,11954.8,0.50931,0.32871,0.96453,0.99252,0.99303,0.99436,0.95855,0.31943,0.17192,0.82289,0.004555,0.004555,0.004555
112,12049.8,0.50614,0.32496,0.95679,0.98927,0.9908,0.99423,0.95967,0.31688,0.17282,0.82413,0.0045055,0.0045055,0.0045055
